id;start_date;end_date;language
1;2020-04-29T22:55:00;2020-04-29T20:45:15;SPANISH
2;2020-04-29T03:45:11;2020-04-29T22:49:36;SPANISH
3;2020-04-29T18:40:30;2020-04-29T05:14:39;FRENCH
4;2020-04-29T09:58:01;2020-04-29T21:29:27;FRENCH
5;2020-04-29T19:28:19;2020-04-30T00:15:18;FRENCH
6;2020-04-29T13:20:40;2020-04-30T01:28:54;FRENCH
7;2020-04-29T15:06:00;2020-04-29T08:56:51;FRENCH
8;2020-04-29T14:02:13;2020-04-30T00:18:21;SPANISH
9;2020-04-29T12:43:22;2020-04-29T09:24:45;SPANISH
10;2020-04-29T20:55:26;2020-04-29T07:29:56;SPANISH
